id;name;category
1;Sir James Paul McCartney, CH MBE;singer
2;FRANZ VON HOLZHAUSEN;tech
3;DR. JANE GOODALL, DB;tech
4;PROF. JENNIFER A. DOUDNA, Ph.D;tech
5;MAE JEMISON;tech
7;TU YOUYOU;tech
8;JEFF BEZOS;business
9;NAVAL RAVIKANT;business
10;RAY DALIO;business
11;ABIGAIL JOHNSON;business
12;WHITNEY WOLFE HERD;business
13;JACK MA;business
14;NERI OXMAN;tech
16;IRIS VAN HERPEN;business
17;MERYL STREEP;actor
18;YO-YO MA;singer
19;HAYAO MIYAZAKI;actor
20;CHIMAMANDA NGOZI ADICHIE;actor
21;LIN-MANUEL MIRANDA;actor
23;TAYLOR SWIFT;singer
25;SIMONE BILES;tennis
26;ALEX HONNOLD;tennis
27;LIONEL MESSI;football
28;ALEX COOPER;business
29;DAVID ATTENBOROUGH;actor
30;JOSÉ ANDRÉS;business
31;NASSIM NICHOLAS TALEB;business
32;Beyoncé Knowles-Carter;singer
33;Adele Adkins;singer
34;Ed Sheeran;singer
35;Lady Gaga;singer
36;Shakira Mebarak;singer
37;Rihanna Fenty;singer
39;Alicia Keys;singer
40;John Legend;singer
41;Stevie Wonder;singer
42;Dolly Parton;singer
43;Willie Nelson;singer
44;Andrea Bocelli;singer
45;Placido Domingo;singer
48;Paul Simon;singer
49;Art Garfunkel;singer
50;Elton John;singer
51;Celine Dion;singer
52;Barbra Streisand;singer
53;Jennifer Lopez;singer
54;Kendrick Lamar;singer
55;Chance the Rapper;singer
56;Luis Fonsi;singer
57;Bad Bunny;singer
58;Chris Martin;singer
59;Bono;singer
61;Harry Styles;singer
62;Lizzo;singer
63;Josh Groban;singer
64;Michael Bublé;singer
65;Kacey Musgraves;singer
66;Jason Mraz;singer
67;Hozier;singer
68;Sara Bareilles;singer
69;Gloria Estefan;singer
70;Enrique Iglesias;singer
71;Juanes;singer
73;Erykah Badu;singer
74;Janelle Monáe;singer
75;Sam Smith;singer
76;Maren Morris;singer
77;RM (Kim Nam-joon);singer
78;Hope Sandoval;singer
79;Olivia Rodrigo;singer
80;Bill Withers;singer
81;Norah Jones;singer
82;Carole King;singer
83;Stevie Nicks;singer
84;Peter Gabriel;singer
86;Imogen Heap;singer
87;Sting;singer
88;Bryan Adams;singer
89;Matt Bellamy;singer
90;Florence Welch;singer
93;Charlie Puth;singer
94;Billy Joel;singer
95;Denzel Washington;actor
96;Emma Watson;actor
97;Leonardo DiCaprio;actor
98;Keanu Reeves;actor
99;Tom Hanks;actor
100;Viola Davis;actor
101;Robert Downey Jr.;actor
102;Scarlett Johansson;actor
103;Zendaya Coleman;actor
104;Gal Gadot;actor
105;Mahershala Ali;actor
106;Natalie Portman;actor
107;Rami Malek;actor
109;Brie Larson;actor
110;Jennifer Lawrence;actor
111;Chris Evans;actor
112;Mark Ruffalo;actor
113;Chadwick Boseman;actor
114;Emily Blunt;actor
