id;name;category
1;Sir James Paul McCartney, CH MBE;singer
2;FRANZ VON HOLZHAUSEN;tech
3;DR. JANE GOODALL, DB;tech
4;PROF. JENNIFER A. DOUDNA, Ph.D;tech
5;MAE JEMISON;tech
7;TU YOUYOU;tech
8;JEFF BEZOS;business
9;NAVAL RAVIKANT;business
10;RAY DALIO;business
11;ABIGAIL JOHNSON;business
12;WHITNEY WOLFE HERD;business
13;JACK MA;business
14;NERI OXMAN;tech
16;IRIS VAN HERPEN;business
17;MERYL STREEP;actor
18;YO-YO MA;singer
19;HAYAO MIYAZAKI;actor
20;CHIMAMANDA NGOZI ADICHIE;actor
21;LIN-MANUEL MIRANDA;actor
23;TAYLOR SWIFT;singer
25;SIMONE BILES;tennis
